C,classifier_name,classifier_params,feature_range,fill_value,fit_time,fold,imputer_name,imputer_params,penalty,predict_time,roc_auc,scaler_name,scaler_params,strategy,criterion,n_estimators
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",-1.0,0.014406919479370117,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.008837223052978516,0.5194805194805194,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",-1.0,0.015126943588256836,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.010313987731933594,0.5324675324675324,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",-1.0,0.023426055908203125,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.00945591926574707,0.7960741548527809,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",-1.0,0.016232013702392578,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.011356830596923828,0.7449192029344701,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",-1.0,0.016604185104370117,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.010216951370239258,0.77997002997003,MinMaxScaler,"feature_range=(0, 1)",constant,,
,RandomForestClassifier,"n_estimators=10, criterion=gini","(0, 1)",-1.0,0.03313302993774414,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.013981819152832031,0.7541389907802121,MinMaxScaler,"feature_range=(0, 1)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(0, 1)",-1.0,0.037043094635009766,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.019323110580444336,0.6926241697234063,MinMaxScaler,"feature_range=(0, 1)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(0, 1)",-1.0,0.03151702880859375,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.011895895004272461,0.773976023976024,MinMaxScaler,"feature_range=(0, 1)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(0, 1)",-1.0,0.030627727508544922,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.011069774627685547,0.6727966689798751,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(0, 1)",-1.0,0.033128976821899414,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012642145156860352,0.6872707445226529,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(0, 1)",-1.0,0.047654151916503906,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01514887809753418,0.7956043956043957,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(0, 1)",-1.0,0.08910107612609863,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01852893829345703,0.766332903737484,MinMaxScaler,"feature_range=(0, 1)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(0, 1)",-1.0,0.0909121036529541,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01681685447692871,0.7250917021909388,MinMaxScaler,"feature_range=(0, 1)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(0, 1)",-1.0,0.07003998756408691,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012762784957885742,0.7703796203796203,MinMaxScaler,"feature_range=(0, 1)",constant,gini,30.0
